Sno,Date,Country/Region,Province/State,Cured,Region
1,30-01-2020,India,Kerala,0,India
2,31-01-2020,India,Kerala,0,India
3,01-02-2020,India,Kerala,0,India
4,02-02-2020,India,Kerala,0,India
5,03-02-2020,India,Kerala,0,India
6,04-02-2020,India,Kerala,0,India
7,05-02-2020,India,Kerala,0,India
8,06-02-2020,India,Kerala,0,India
9,07-02-2020,India,Kerala,0,India
10,08-02-2020,India,Kerala,0,India
11,09-02-2020,India,Kerala,0,India
12,10-02-2020,India,Kerala,0,India
13,11-02-2020,India,Kerala,0,India
14,12-02-2020,India,Kerala,0,India
15,13-02-2020,India,Kerala,0,India
16,14-02-2020,India,Kerala,0,India
17,15-02-2020,India,Kerala,0,India
18,16-02-2020,India,Kerala,0,India
19,17-02-2020,India,Kerala,0,India
20,18-02-2020,India,Kerala,0,India
21,19-02-2020,India,Kerala,0,India
22,20-02-2020,India,Kerala,0,India
23,21-02-2020,India,Kerala,0,India
24,22-02-2020,India,Kerala,0,India
25,23-02-2020,India,Kerala,0,India
26,24-02-2020,India,Kerala,0,India
27,25-02-2020,India,Kerala,0,India
28,26-02-2020,India,Kerala,0,India
29,27-02-2020,India,Kerala,0,India
30,28-02-2020,India,Kerala,0,India
31,29-02-2020,India,Kerala,0,India
32,01-03-2020,India,Kerala,0,India
33,02-03-2020,India,Telengana,0,India
34,02-03-2020,India,Kerala,0,India
35,02-03-2020,India,Delhi,0,India
36,03-03-2020,India,Telengana,0,India
37,03-03-2020,India,Rajasthan,0,India
38,03-03-2020,India,Kerala,3,India
39,03-03-2020,India,Delhi,0,India
40,04-03-2020,India,Uttar Pradesh,0,India
41,04-03-2020,India,Kerala,3,India
42,04-03-2020,India,Haryana,0,India
43,04-03-2020,India,Delhi,0,India
44,04-03-2020,India,Telengana,0,India
45,04-03-2020,India,Rajasthan,0,India
46,05-03-2020,India,Delhi,0,India
47,05-03-2020,India,Haryana,0,India
48,05-03-2020,India,Kerala,3,India
49,05-03-2020,India,Rajasthan,0,India
50,05-03-2020,India,Telengana,0,India
51,05-03-2020,India,Uttar Pradesh,0,India
52,06-03-2020,India,Delhi,0,India
53,06-03-2020,India,Haryana,0,India
54,06-03-2020,India,Kerala,3,India
55,06-03-2020,India,Rajasthan,0,India
56,06-03-2020,India,Uttar Pradesh,0,India
57,06-03-2020,India,Telengana,0,India
58,07-03-2020,India,Kerala,3,India
59,07-03-2020,India,Uttar Pradesh,0,India
60,07-03-2020,India,Ladakh,0,India
61,07-03-2020,India,Telengana,0,India
62,07-03-2020,India,Tamil Nadu,0,India
63,07-03-2020,India,Delhi,0,India
64,07-03-2020,India,Haryana,0,India
